Block,Lot,Ward,Sect,CityTax,StateTax,ResCode,AmountDue,PoliceDistrict,CouncilDistrict
1369,37,3,10,,,NOT A PRINCIPAL RESIDENCE,,,
1369,38,3,10,,,NOT A PRINCIPAL RESIDENCE,,,
1520,65,8,150,$337.20,$16.80,NOT A PRINCIPAL RESIDENCE,$6.91,EASTERN,13
1103,31,12,110,$1463.45,$72.91,PRINCIPAL RESIDENCE      ,,EASTERN,12
3846,68,12,170,$2430.09,$121.07,PRINCIPAL RESIDENCE      ,$60.40,NORTHERN,12
3542B,10,13,30,$2861.70,$142.58,PRINCIPAL RESIDENCE      ,,NORTHERN,7
80,13,16,150,$884.21,$44.05,NOT A PRINCIPAL RESIDENCE,$923.84,WESTERN,9
4178,27,8,260,$1652.28,$82.32,NOT A PRINCIPAL RESIDENCE,$113.95,NORTHEASTERN,13
17,2,15,140,$1011.60,$50.40,PRINCIPAL RESIDENCE      ,$338.46,WESTERN,7
7202,32,25,80,$1202.68,$59.92,NOT A PRINCIPAL RESIDENCE,$1336.55,SOUTHERN,10
5482D,39,27,350,$2778.53,$138.43,PRINCIPAL RESIDENCE      ,$56.06,NORTHEASTERN,3
1,26,15,370,$472.08,$23.52,NOT A PRINCIPAL RESIDENCE,$553.68,WESTERN,7
1169,35,10,30,$337.20,$16.80,NOT A PRINCIPAL RESIDENCE,$395.46,EASTERN,12
3550,19,13,160,$2881.94,$143.58,NOT A PRINCIPAL RESIDENCE,$613.60,NORTHERN,7
1369,39,3,10,,,NOT A PRINCIPAL RESIDENCE,,,
1369,40,3,10,,,NOT A PRINCIPAL RESIDENCE,,,
1369,41,3,10,,,NOT A PRINCIPAL RESIDENCE,,,
1,23,15,370,$472.08,$23.52,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
1,24,15,370,$472.08,$23.52,PRINCIPAL RESIDENCE      ,,WESTERN,7
1,25,15,370,$472.08,$23.52,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
1369,42,3,10,,,NOT A PRINCIPAL RESIDENCE,,,
1,27,15,370,$472.08,$23.52,NOT A PRINCIPAL RESIDENCE,,WESTERN,7
571,15,4,40,$1109.01,$55.25,PRINCIPAL RESIDENCE      ,$242.91,CENTRAL,11
103,55,16,150,$1168.96,$58.24,NOT A PRINCIPAL RESIDENCE,,,
252,22,18,80,$2926.15,$145.79,NOT A PRINCIPAL RESIDENCE,$350.01,SOUTHERN,9
7202,5,25,80,$790.40,$39.38,NOT A PRINCIPAL RESIDENCE,$894.58,SOUTHERN,10
6019J,12,26,220,$3972.22,$197.90,PRINCIPAL RESIDENCE      ,$40.33,NORTHEASTERN,2
