Block,Lot,Ward,Sect,CityTax,StateTax,ResCode,AmountDue,CouncilDistrict
1369,37,3,10,0.0,0.0,0,0.0,
1369,38,3,10,0.0,0.0,0,0.0,
1520,65,8,150,337.2,16.8,0,6.91,13
1103,31,12,110,1463.45,72.91,1,0.0,12
3846,68,12,170,2430.09,121.07,1,60.4,12
3542B,10,13,30,2861.7,142.58,1,0.0,7
80,13,16,150,884.21,44.05,0,923.84,9
4178,27,8,260,1652.28,82.32,0,113.95,13
17,2,15,140,1011.6,50.4,1,338.46,7
7202,32,25,80,1202.68,59.92,0,1336.55,10
5482D,39,27,350,2778.53,138.43,1,56.06,3
1,26,15,370,472.08,23.52,0,553.68,7
1169,35,10,30,337.2,16.8,0,395.46,12
3550,19,13,160,2881.94,143.58,0,613.6,7
1369,39,3,10,0.0,0.0,0,0.0,
1369,40,3,10,0.0,0.0,0,0.0,
1369,41,3,10,0.0,0.0,0,0.0,
1,23,15,370,472.08,23.52,0,0.0,7
1,24,15,370,472.08,23.52,1,0.0,7
1,25,15,370,472.08,23.52,0,0.0,7
1369,42,3,10,0.0,0.0,0,0.0,
1,27,15,370,472.08,23.52,0,0.0,7
571,15,4,40,1109.01,55.25,1,242.91,11
103,55,16,150,1168.96,58.24,0,0.0,
252,22,18,80,2926.15,145.79,0,350.01,9
7202,5,25,80,790.4,39.38,0,894.58,10
6019J,12,26,220,3972.22,197.9,1,40.33,2
1,29,15,370,472.08,23.52,0,0.0,7
1,30,15,370,0.0,0.0,0,0.0,7
1,31,15,370,472.08,23.52,0,0.0,7
1,32,15,370,472.08,23.52,0,0.0,7
17,6,15,140,1011.6,50.4,1,494.69,7
1,033A,15,370,472.08,23.52,0,0.0,7
1,033B,15,370,67.44,3.36,0,0.0,7
17,10,15,140,1011.6,50.4,1,494.69,7
1,033D,15,370,67.44,3.36,0,0.0,7
1,033E,15,370,472.08,23.52,0,0.0,7
1,033F,15,370,472.08,23.52,0,0.0,7
1,033G,15,370,472.08,23.52,1,0.0,7
1,033H,15,370,472.08,23.52,0,0.0,7
1,033I,15,370,472.08,23.52,0,0.0,7
1,34,15,370,674.4,33.6,0,0.0,7
0023B,10,15,140,1011.6,50.4,1,123.34,7
1,35,15,370,472.08,23.52,0,0.0,7
1,38,15,370,472.08,23.52,0,0.0,7
1,41,15,370,472.08,23.52,0,0.0,7
1,42,15,370,472.08,23.52,0,0.0,7
23,31,15,140,1011.6,50.4,1,275.87,7
1,44,15,370,472.08,23.52,1,0.0,7
1,45,15,370,472.08,23.52,0,0.0,7
23,39,15,140,1011.6,50.4,1,275.87,7
5267F,47,27,440,2623.42,130.7,1,1174.29,4
2,1,15,160,472.08,23.52,0,0.0,7
2,2,15,160,472.08,23.52,0,0.0,7
5559,157,27,40,3003.33,149.63,1,1420.94,3
2,5,15,160,472.08,23.52,0,0.0,7
2,6,15,160,472.08,23.52,0,0.0,7
2,7,15,160,472.08,23.52,0,0.0,7
6019B,14,26,220,3089.49,153.92,1,14.44,2
2,9,15,160,472.08,23.52,0,0.0,7
2349,51,16,250,1910.8,95.2,1,1210.26,9
2,12,15,160,472.08,23.52,0,0.0,7
2,13,15,160,67.44,3.36,0,0.0,7
2,14,15,160,67.44,3.36,0,0.0,7
2,15,15,160,0.0,0.0,0,0.0,7
2,17,15,160,67.44,3.36,0,0.0,7
2,4,15,160,899.2,44.8,0,939.5,7
2,19,15,160,472.08,23.52,0,0.0,7
2,21,15,160,899.2,44.8,0,939.5,7
1184,44,10,20,67.44,3.36,0,79.08,12
1184,47,10,20,22.48,1.12,0,26.36,12
2,26,15,160,899.2,44.8,0,939.5,7
1,47,15,370,1452.21,72.35,0,1540.09,7
3208,40,15,160,899.2,44.8,1,440.75,7
4421,44,27,230,2942.63,146.61,1,1479.25,5
1369,43,3,10,0.0,0.0,0,0.0,
1557,20,8,220,427.12,21.28,0,303.9,13
1369,44,3,10,0.0,0.0,0,0.0,
2,30,15,160,67.44,3.36,0,0.0,7
2,31,15,160,472.08,23.52,0,0.0,7
1369,45,3,10,0.0,0.0,0,0.0,
2,33,15,160,472.08,23.52,0,0.0,7
1369,46,3,10,0.0,0.0,0,0.0,
1936,67,24,70,0.0,0.0,0,0.0,
1369,47,3,10,0.0,0.0,0,0.0,
2,39,15,160,472.08,23.52,0,0.0,7
2,40,15,160,472.08,23.52,1,0.0,7
2,42,15,160,472.08,23.52,1,0.0,7
1936,065A,24,70,0.0,0.0,0,0.0,
1,2,15,370,1112.76,55.44,0,0.0,7
1,4,15,370,674.4,33.6,0,0.0,7
1,5,15,370,472.08,23.52,0,0.0,7
1,1,15,370,2283.97,113.79,0,2386.34,7
2,34,15,160,899.2,44.8,0,939.5,7
1369,48,3,10,0.0,0.0,0,0.0,
1369,49,3,10,0.0,0.0,0,0.0,
1369,50,3,10,0.0,0.0,0,0.0,
1369,51,3,10,0.0,0.0,0,0.0,
1369,52,3,10,0.0,0.0,0,0.0,
1369,53,3,10,0.0,0.0,0,0.0,
1369,54,3,10,0.0,0.0,0,0.0,
1369,55,3,10,0.0,0.0,0,0.0,
2,28,15,160,899.2,44.8,0,944.0,7
1,6,15,370,337.2,16.8,0,0.0,7
1761,152,1,140,5422.92,270.18,1,2688.13,1
1,9,15,370,472.08,23.52,0,0.0,7
1,10,15,370,472.08,23.52,0,0.0,7
1,11,15,370,472.08,23.52,0,0.0,7
1,12,15,370,472.08,23.52,0,0.0,7
522,11,11,100,13348.62,665.06,0,320.71,11
1,14,15,370,472.08,23.52,1,0.0,7
2,56,15,160,899.2,44.8,1,876.58,7
1,16,15,370,0.0,0.0,0,0.0,7
1,19,15,370,472.08,23.52,0,0.0,7
1,20,15,370,472.08,23.52,0,0.0,7
1,21,15,370,472.08,23.52,0,0.0,7
1,22,15,370,472.08,23.52,0,0.0,7
2,48,15,160,472.08,23.52,1,0.0,7
2,58,15,160,899.2,44.8,1,736.63,7
1127,10,8,70,674.4,33.6,1,304.98,12
2,51,15,160,472.08,23.52,0,0.0,7
2,52,15,160,472.08,23.52,0,0.0,7
2,53,15,160,472.08,23.52,0,0.0,7
2153,8,20,140,502.05,25.01,1,198.76,9
2253,35,20,180,1712.98,85.34,0,839.38,8
2,57,15,160,67.44,3.36,0,0.0,7
2295,21,20,30,933.66,46.52,0,4.72,8
1189,22,10,120,67.44,3.36,0,79.08,12
468,004B,11,10,2472.8,123.2,1,0.0,
2491,1,16,60,2476.55,123.39,1,203.21,8
44,29,16,10,1065.55,53.09,1,1040.94,9
1189,23,10,120,2248.0,112.0,0,2647.52,12
2,65,15,160,472.08,23.52,1,0.0,7
2,66,15,160,472.08,23.52,1,0.0,7
2,67,15,160,472.08,23.52,0,0.0,7
2,68,15,160,67.44,3.36,0,0.0,7
