Log10 Density    Temperature
----------------------------
-31.0000         2449.7310
-18.9996         4196.2167
-18.6985         4271.8701
-18.5224         4317.3771
-18.3975         4350.2454
-18.3006         4376.0797
-18.2214         4397.4122
-18.1545         4415.6082
-18.0965         4431.4900
-18.0453         4445.5919
-17.9996         4458.2812
-17.9582         4469.8214
-17.9204         4480.4079
-17.8856         4490.1901
-17.8534         4499.2843
-17.8235         4507.7834
-17.7954         4515.7622
-17.7691         4523.2824
-17.7443         4530.3951
-17.7208         4537.1434
-17.6985         4543.5636
-17.6773         4549.6871
-17.6571         4555.5407
-17.6378         4561.1479
-17.6194         4566.5291
-17.6016         4571.7023
-17.5846         4576.6834
-17.5682         4581.4865
-17.5524         4586.1242
-17.5372         4590.6080
-17.5224         4594.9478
-17.5082         4599.1530
-17.4944         4603.2319
-17.4811         4607.1920
-17.4681         4611.0402
-17.4555         4614.7830
-17.4433         4618.4260
-17.4314         4621.9745
-17.4198         4625.4336
-17.4085         4628.8077
-17.3975         4632.1009
-17.3868         4635.3173
-17.3763         4638.4604
-17.3661         4641.5336
-17.3561         4644.5399
-17.3464         4647.4824
-17.3368         4650.3638
-17.3275         4653.1865
-17.3183         4655.9531
-17.3094         4658.6658
-17.3006         4661.3266
-17.2920         4663.9377
-17.2836         4666.5008
-17.2753         4669.0178
-17.2672         4671.4903
-17.2592         4673.9199
-17.2514         4676.3082
-17.2437         4678.6565
-17.2361         4680.9662
-17.2287         4683.2387
-17.2214         4685.4750
-17.2142         4687.6764
-17.2072         4689.8440
-17.2002         4691.9788
-17.1934         4694.0819
-17.1867         4696.1541
-17.1800         4698.1965
-17.1735         4700.2099
-17.1671         4702.1950
-17.1607         4704.1528
-17.1545         4706.0840
-17.1483         4707.9893
-17.1422         4709.8695
-17.1362         4711.7251
-17.1303         4713.5570
-17.1245         4715.3655
-17.1188         4717.1515
-17.1131         4718.9154
-17.1075         4720.6578
-17.1019         4722.3793
-17.0965         4724.0803
-17.0911         4725.7614
-17.0858         4727.4229
-17.0805         4729.0655
-17.0753         4730.6895
-17.0701         4732.2953
-17.0651         4733.8834
-17.0600         4735.4542
-17.0551         4737.0080
-17.0502         4738.5453
-17.0453         4740.0663
-17.0405         4741.5715
-17.0358         4743.0611
-17.0311         4744.5355
-17.0264         4745.9951
-17.0218         4747.4400
-17.0173         4748.8707
-17.0128         4750.2874
-17.0083         4751.6904
-17.0039         4753.0799
-16.9996         4754.4562
-16.9952         4755.8196
-16.9910         4757.1704
-16.9867         4758.5087
-16.9825         4759.8348
-16.9784         4761.1489
-16.9743         4762.4512
-16.9702         4763.7421
-16.9661         4765.0215
-16.9621         4766.2899
-16.9582         4767.5473
-16.9542         4768.7940
-16.9503         4770.0301
-16.9465         4771.2559
-16.9427         4772.4715
-16.9389         4773.6770
-16.9351         4774.8727
-16.9314         4776.0588
-16.9277         4777.2353
-16.9240         4778.4024
-16.9204         4779.5603
-16.9168         4780.7091
-16.9132         4781.8491
-16.9097         4782.9802
-16.9061         4784.1027
-16.9027         4785.2167
-16.8992         4786.3223
-16.8958         4787.4197
-16.8924         4788.5089
-16.8890         4789.5902
-16.8856         4790.6636
-16.8823         4791.7292
-16.8790         4792.7872
-16.8757         4793.8376
-16.8725         4794.8806
-16.8692         4795.9163
-16.8660         4796.9448
-16.8628         4797.9662
-16.8597         4798.9806
-16.8566         4799.9880
-16.8534         4800.9887
-16.8503         4801.9826
-16.8473         4802.9699
-16.8442         4803.9507
-16.8412         4804.9250
-16.8382         4805.8930
-16.8352         4806.8547
